                a               c            b                f(a)                f(c)                f(b)      time executing
0   0.00000000000  0.500000000000  1.000000000 -2.0000000000000000  0.3750000000000000  2.0000000000000000  0.0030004978179932
1   0.00000000000  0.250000000000  0.500000000 -2.0000000000000000 -0.6718750000000000  0.3750000000000000  0.0020000934600830
2   0.25000000000  0.375000000000  0.500000000 -0.6718750000000000 -0.1191406250000000  0.3750000000000000  0.0010004043579102
3   0.37500000000  0.437500000000  0.500000000 -0.1191406250000000  0.1345214843750000  0.3750000000000000  0.0019998550415039
4   0.37500000000  0.406250000000  0.437500000 -0.1191406250000000  0.0094299316406250  0.1345214843750000  0.0020012855529785
5   0.37500000000  0.390625000000  0.406250000 -0.1191406250000000 -0.0544090270996094  0.0094299316406250  0.0010001659393311
6   0.39062500000  0.398437500000  0.406250000 -0.0544090270996094 -0.0223793983459473  0.0094299316406250  0.0010001659393311
7   0.39843750000  0.402343750000  0.406250000 -0.0223793983459473 -0.0064473748207092  0.0094299316406250  0.0009999275207520
8   0.40234375000  0.404296875000  0.406250000 -0.0064473748207092  0.0014980956912041  0.0094299316406250  0.0009989738464355
9   0.40234375000  0.403320312500  0.404296875 -0.0064473748207092 -0.0024729324504733  0.0014980956912041  0.0020000934600830
10  0.40332031250  0.403808593750  0.404296875 -0.0024729324504733 -0.0004869919503108  0.0014980956912041  0.0020000934600830
11  0.40380859375  0.404052734375  0.404296875 -0.0004869919503108  0.0005056584341219  0.0014980956912041  0.0020000934600830



count iterations: 12
